Date, Time, Voltage
8/22/2018,7:44:10,2.31
8/22/2018,7:44:15,2.31
8/22/2018,7:44:20,2.31
8/22/2018,7:44:25,2.31
8/22/2018,7:44:30,2.31
8/22/2018,7:44:35,2.31
8/22/2018,7:44:40,2.31
8/22/2018,7:44:45,2.31
8/22/2018,7:44:50,2.31
8/22/2018,7:44:55,2.31
8/22/2018,7:45:00,2.31
8/22/2018,7:45:05,2.31
8/22/2018,7:45:10,2.31
8/22/2018,7:45:15,2.31
8/22/2018,7:45:20,2.31
8/22/2018,7:45:25,2.31
8/22/2018,7:45:30,2.31
8/22/2018,7:45:35,2.31
8/22/2018,7:45:40,2.31
8/22/2018,7:45:45,2.31
8/22/2018,7:45:50,2.31
8/22/2018,7:45:55,2.31
8/22/2018,7:46:00,2.31
8/22/2018,7:46:05,2.31
8/22/2018,7:46:10,2.31
8/22/2018,7:46:15,2.31
8/22/2018,7:46:20,2.31
8/22/2018,7:46:25,2.31
8/22/2018,7:46:30,2.31
8/22/2018,7:46:35,2.3
8/22/2018,7:46:40,2.31
8/22/2018,7:46:45,2.32
8/22/2018,7:46:50,2.31
8/22/2018,7:46:55,2.31
8/22/2018,7:47:00,2.31
8/22/2018,7:47:05,2.31
8/22/2018,7:47:10,2.31
8/22/2018,7:47:15,2.31
8/22/2018,7:47:20,2.31
8/22/2018,7:47:25,2.31
8/22/2018,7:47:30,2.31
8/22/2018,7:47:35,2.31
8/22/2018,7:47:40,2.31
8/22/2018,7:47:45,2.31
8/22/2018,7:47:50,2.31
8/22/2018,7:47:55,2.31
8/22/2018,7:48:00,2.31
8/22/2018,7:48:05,2.31
8/22/2018,7:48:10,2.31
8/22/2018,7:48:15,2.31
8/22/2018,7:48:20,2.31
8/22/2018,7:48:25,2.31
8/22/2018,7:48:30,2.31
8/22/2018,7:48:35,2.31
8/22/2018,7:48:40,2.31
8/22/2018,7:48:45,2.31
8/22/2018,7:48:50,2.31
8/22/2018,7:48:55,2.31
8/22/2018,7:49:00,2.31
8/22/2018,7:49:05,2.31
8/22/2018,7:49:10,2.31
8/22/2018,7:49:15,2.31
8/22/2018,7:49:20,2.31
8/22/2018,7:49:25,2.31
8/22/2018,7:49:30,2.31
8/22/2018,7:49:35,2.31
8/22/2018,7:49:40,2.31
8/22/2018,7:49:45,2.31
8/22/2018,7:49:50,2.31
8/22/2018,7:49:55,2.31
8/22/2018,7:50:00,2.31
8/22/2018,7:50:05,2.31
8/22/2018,7:50:10,2.31
8/22/2018,7:50:15,2.31
8/22/2018,7:50:20,2.31
8/22/2018,7:50:25,2.31
8/22/2018,7:50:30,2.31
8/22/2018,7:50:35,2.31
8/22/2018,7:50:40,2.31
8/22/2018,7:50:45,2.31
8/22/2018,7:50:50,2.31
8/22/2018,7:50:55,2.31
8/22/2018,7:51:00,2.31
8/22/2018,7:51:05,2.31
8/22/2018,7:51:10,2.31
8/22/2018,7:51:15,2.31
8/22/2018,7:51:20,2.31
8/22/2018,7:51:25,2.31
8/22/2018,7:51:30,2.31
8/22/2018,7:51:35,2.31
8/22/2018,7:51:40,2.31
8/22/2018,7:51:45,2.31
8/22/2018,7:51:50,2.31
8/22/2018,7:51:55,2.31
8/22/2018,7:52:00,2.31
8/22/2018,7:52:05,2.31
8/22/2018,7:52:10,2.31
8/22/2018,7:52:15,2.31
8/22/2018,7:52:20,2.31
8/22/2018,7:52:25,2.31
8/22/2018,7:52:30,2.31
8/22/2018,7:52:35,2.3
8/22/2018,7:52:40,2.31
8/22/2018,7:52:45,2.32
8/22/2018,7:52:50,2.31
8/22/2018,7:52:55,2.31
8/22/2018,7:53:00,2.31
8/22/2018,7:53:05,2.31
8/22/2018,7:53:10,2.31
8/22/2018,7:53:15,2.31
8/22/2018,7:53:20,2.31
8/22/2018,7:53:25,2.31
8/22/2018,7:53:30,2.31
8/22/2018,7:53:35,2.31
8/22/2018,7:53:40,2.31
8/22/2018,7:53:45,2.31
8/22/2018,7:53:50,2.31
8/22/2018,7:53:55,2.31
8/22/2018,7:54:00,2.31
8/22/2018,7:54:05,2.31
8/22/2018,7:54:10,2.31
8/22/2018,7:54:15,2.31
8/22/2018,7:54:20,2.31
8/22/2018,7:54:25,2.31
8/22/2018,7:54:30,2.31
8/22/2018,7:54:35,2.31
8/22/2018,7:54:40,2.31
8/22/2018,7:54:45,2.31
8/22/2018,7:54:50,2.31
8/22/2018,7:54:55,2.31
8/22/2018,7:55:00,2.31
8/22/2018,7:55:05,2.31
8/22/2018,7:55:10,2.31
8/22/2018,7:55:15,2.31
8/22/2018,7:55:20,2.31
8/22/2018,7:55:25,2.31
8/22/2018,7:55:30,2.31
8/22/2018,7:55:35,2.3
8/22/2018,7:55:40,2.31
8/22/2018,7:55:45,2.31
8/22/2018,7:55:50,2.31
8/22/2018,7:55:55,2.31
8/22/2018,7:56:00,2.31
8/22/2018,7:56:05,2.31
8/22/2018,7:56:10,2.31
8/22/2018,7:56:15,2.31
8/22/2018,7:56:20,2.31
8/22/2018,7:56:25,2.31
8/22/2018,7:56:30,2.31
8/22/2018,7:56:35,2.31
8/22/2018,7:56:40,2.31
8/22/2018,7:56:45,2.31
8/22/2018,7:56:50,2.31
8/22/2018,7:56:55,2.31
8/22/2018,7:57:00,2.31
8/22/2018,7:57:05,2.31
8/22/2018,7:57:10,2.31
8/22/2018,7:57:15,2.31
8/22/2018,7:57:20,2.31
8/22/2018,7:57:25,2.31
8/22/2018,7:57:30,2.31
8/22/2018,7:57:35,2.31
8/22/2018,7:57:40,2.31
8/22/2018,7:57:45,2.31
8/22/2018,7:57:50,2.31
8/22/2018,7:57:55,2.31
8/22/2018,7:58:00,2.31
8/22/2018,7:58:05,2.31
8/22/2018,7:58:10,2.31
8/22/2018,7:58:15,2.31
8/22/2018,7:58:20,2.31
8/22/2018,7:58:25,2.31
8/22/2018,7:58:30,2.31
8/22/2018,7:58:35,2.31
8/22/2018,7:58:40,2.31
8/22/2018,7:58:45,2.31
8/22/2018,7:58:50,2.31
8/22/2018,7:58:55,2.31
8/22/2018,7:59:00,2.31
8/22/2018,7:59:05,2.31
8/22/2018,7:59:10,2.31
8/22/2018,7:59:15,2.31
8/22/2018,7:59:20,2.31
8/22/2018,7:59:25,2.31
8/22/2018,7:59:30,2.31
8/22/2018,7:59:35,2.31
8/22/2018,7:59:40,2.31
8/22/2018,7:59:45,2.31
8/22/2018,7:59:50,2.31
8/22/2018,7:59:55,2.31
8/22/2018,8:00:00,2.31
8/22/2018,8:00:05,2.31
8/22/2018,8:00:10,2.31
8/22/2018,8:00:15,2.31
8/22/2018,8:00:20,2.31
8/22/2018,8:00:25,2.31
8/22/2018,8:00:30,2.31
8/22/2018,8:00:35,2.31
8/22/2018,8:00:40,2.31
8/22/2018,8:00:45,2.31
8/22/2018,8:00:50,2.31
8/22/2018,8:00:55,2.31
8/22/2018,8:01:00,2.31
8/22/2018,8:01:05,2.31
8/22/2018,8:01:10,2.31
8/22/2018,8:01:15,2.31
8/22/2018,8:01:20,2.31
8/22/2018,8:01:25,2.31
8/22/2018,8:01:30,2.31
8/22/2018,8:01:35,2.31
8/22/2018,8:01:40,2.31
8/22/2018,8:01:45,2.31
8/22/2018,8:01:50,2.31
8/22/2018,8:01:55,2.3
8/22/2018,8:02:00,2.31
8/22/2018,8:02:05,2.31
8/22/2018,8:02:10,2.31
8/22/2018,8:02:15,2.31
8/22/2018,8:02:20,2.31
8/22/2018,8:02:25,2.31
8/22/2018,8:02:30,2.31
8/22/2018,8:02:35,2.31
8/22/2018,8:02:40,2.31
8/22/2018,8:02:45,2.31
8/22/2018,8:02:50,2.31
8/22/2018,8:02:55,2.31
8/22/2018,8:03:00,2.31
8/22/2018,8:03:05,2.32
8/22/2018,8:03:10,2.31
8/22/2018,8:03:15,2.31
8/22/2018,8:03:20,2.31
8/22/2018,8:03:25,2.31
8/22/2018,8:03:30,2.31
8/22/2018,8:03:35,2.31
8/22/2018,8:03:40,2.31
8/22/2018,8:03:45,2.31
8/22/2018,8:03:50,2.32
8/22/2018,8:03:55,2.31
8/22/2018,8:04:00,2.31
8/22/2018,8:04:05,2.31
8/22/2018,8:04:10,2.31
8/22/2018,8:04:15,2.31
8/22/2018,8:04:20,2.31
8/22/2018,8:04:25,2.31
8/22/2018,8:04:30,2.31
8/22/2018,8:04:35,2.31
8/22/2018,8:04:40,2.31
8/22/2018,8:04:45,2.31
8/22/2018,8:04:50,2.31
8/22/2018,8:04:55,2.31
8/22/2018,8:05:00,2.31
8/22/2018,8:05:05,2.31
8/22/2018,8:05:10,2.31
8/22/2018,8:05:15,2.31
8/22/2018,8:05:20,2.31
8/22/2018,8:05:25,2.31
8/22/2018,8:05:30,2.31
8/22/2018,8:05:35,2.31
8/22/2018,8:05:40,2.31
8/22/2018,8:05:45,2.31
8/22/2018,8:05:50,2.31
8/22/2018,8:05:55,2.31
8/22/2018,8:06:00,2.31
8/22/2018,8:06:05,2.31
8/22/2018,8:06:10,2.31
8/22/2018,8:06:15,2.31
8/22/2018,8:06:20,2.31
8/22/2018,8:06:25,2.31
8/22/2018,8:06:30,2.31
8/22/2018,8:06:35,2.31
8/22/2018,8:06:40,2.31
8/22/2018,8:06:45,2.31
8/22/2018,8:06:50,2.31
8/22/2018,8:06:55,2.31
8/22/2018,8:07:00,2.31
8/22/2018,8:07:05,2.31
8/22/2018,8:07:10,2.31
8/22/2018,8:07:15,2.31
8/22/2018,8:07:20,2.31
8/22/2018,8:07:25,2.31
8/22/2018,8:07:30,2.31
8/22/2018,8:07:35,2.31
8/22/2018,8:07:40,2.31
8/22/2018,8:07:45,2.31
8/22/2018,8:07:50,2.31
8/22/2018,8:07:55,2.31
8/22/2018,8:08:00,2.31
8/22/2018,8:08:05,2.32
8/22/2018,8:08:10,2.31
8/22/2018,8:08:15,2.32
8/22/2018,8:08:20,2.31
8/22/2018,8:08:25,2.31
8/22/2018,8:08:30,2.31
8/22/2018,8:08:35,2.31
8/22/2018,8:08:40,2.31
8/22/2018,8:08:45,2.31
8/22/2018,8:08:50,2.31
8/22/2018,8:08:55,2.32
8/22/2018,8:09:00,2.31
8/22/2018,8:09:05,2.31
8/22/2018,8:09:10,2.31
8/22/2018,8:09:15,2.31
8/22/2018,8:09:20,2.31
8/22/2018,8:09:25,2.31
8/22/2018,8:09:30,2.31
8/22/2018,8:09:35,2.31
8/22/2018,8:09:40,2.31
8/22/2018,8:09:45,2.31
8/22/2018,8:09:50,2.31
8/22/2018,8:09:55,2.31
8/22/2018,8:10:00,2.31
8/22/2018,8:10:05,2.31
8/22/2018,8:10:10,2.31
8/22/2018,8:10:15,2.31
8/22/2018,8:10:20,2.31
8/22/2018,8:10:25,2.32
8/22/2018,8:10:30,2.32
8/22/2018,8:10:35,2.31
8/22/2018,8:10:40,2.32
8/22/2018,8:10:45,2.31
8/22/2018,8:10:50,2.31
8/22/2018,8:10:55,2.31
8/22/2018,8:11:00,2.31
8/22/2018,8:11:05,2.31
8/22/2018,8:11:10,2.32
8/22/2018,8:11:15,2.31
8/22/2018,8:11:20,2.31
8/22/2018,8:11:25,2.32
8/22/2018,8:11:30,2.32
8/22/2018,8:11:35,2.32
8/22/2018,8:11:40,2.31
8/22/2018,8:11:45,2.31
8/22/2018,8:11:50,2.31
8/22/2018,8:11:55,2.31
8/22/2018,8:12:00,2.31
8/22/2018,8:12:05,2.31
8/22/2018,8:12:10,2.31
8/22/2018,8:12:15,2.31
8/22/2018,8:12:20,2.31
8/22/2018,8:12:25,2.31
8/22/2018,8:12:30,2.31
8/22/2018,8:12:35,2.32
8/22/2018,8:12:40,2.31
8/22/2018,8:12:45,2.31
8/22/2018,8:12:50,2.31
8/22/2018,8:12:55,2.31
8/22/2018,8:13:00,2.31
8/22/2018,8:13:05,2.31
